,期数,红球号码_1,红球号码_2,红球号码_3,红球号码_4,红球号码_5,红球号码_6,红球号码_7,红球号码_8,红球号码_9,红球号码_10,红球号码_11,红球号码_12,红球号码_13
0,20220101179,2,4,4,2,14,10,14,6,16,12,14,8,1
1,20220101178,1,1,4,1,16,14,12,12,14,14,10,14,11
2,20220101177,1,4,4,3,15,12,13,9,15,11,14,7,4
3,20220101176,2,4,4,2,14,12,12,10,16,13,13,10,13
4,20220101175,1,4,4,1,16,13,13,10,14,13,11,12,12
5,20220101174,2,4,4,2,14,13,11,12,16,13,13,10,9
6,20220101173,1,4,4,1,16,13,13,10,14,13,11,12,12
7,20220101172,4,4,4,2,13,11,12,9,17,12,15,7,4
8,20220101171,4,4,4,2,13,13,10,13,17,17,10,17,11
9,20220101170,2,4,4,2,13,11,12,9,17,15,12,13,10
10,20220101169,1,4,4,2,14,12,12,10,16,15,11,14,12
11,20220101168,2,4,4,2,12,11,11,10,18,15,13,12,12
12,20220101167,4,4,4,3,15,11,14,7,15,14,11,13,10
13,20220101166,2,4,4,3,15,11,14,7,15,11,14,7,4
14,20220101165,4,4,4,1,16,13,13,10,14,12,12,10,13
15,20220101164,2,4,4,1,16,14,12,12,14,12,12,10,9
16,20220101163,1,1,1,1,18,15,13,12,12,11,11,10,9
17,20220101162,1,1,4,1,16,15,11,14,14,11,13,8,7
18,20220101161,1,4,4,3,15,15,10,15,15,14,11,13,8
19,20220101160,2,4,4,2,13,12,11,11,17,14,13,11,11
20,20220101159,4,4,4,3,15,11,14,7,15,13,12,11,2
21,20220101158,1,4,4,3,15,12,13,9,15,12,13,9,4
22,20220101157,2,4,4,2,12,11,11,10,18,14,14,10,13
23,20220101156,1,4,4,1,17,12,15,7,13,13,10,13,10
24,20220101155,2,2,4,2,12,10,12,8,18,11,17,4,4
25,20220101154,2,4,4,2,14,10,14,6,16,14,12,12,2
26,20220101153,1,4,4,1,16,12,14,8,14,12,12,10,3
27,20220101152,4,4,4,3,15,13,12,11,15,12,13,9,7
28,20220101151,2,4,4,3,15,13,12,11,15,13,12,11,11
29,20220101150,1,4,4,1,16,13,13,10,14,12,12,10,13
30,20220101149,2,4,4,3,15,14,11,13,15,13,12,11,8
31,20220101148,1,4,4,1,18,14,14,10,12,11,11,10,13
32,20220101147,2,2,4,2,13,13,10,13,17,12,15,7,7
33,20220101146,2,4,4,3,15,10,15,5,15,12,13,9,1
